"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"Note: Reports with start date of 1 Jan 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fulfilment by amazon fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"24 Apr 2026 9:58:24 am GMT+9","10208662943","Order","503-6960196-1226256","311001-25x5NJ-AU-FBM","VIVOSUN 5-Pack 25 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","CENTENARY HEIGHTS","QLD","4350","42.99","0","0","0","0","0","-4.51","0","0","0","38.48","Deferred",
"24 Apr 2026 11:19:42 pm GMT+9","10208662943","Order","250-9041253-0550212","311001-30x5NJ-AU-FBM","VIVOSUN 5-Pack 30 Gallons Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","KINGS PARK","NSW","2148","52.99","0","0","0","0","0","-5.56","0","0","0","47.43","Deferred",
"24 Apr 2026 11:19:42 pm GMT+9","10208662943","Order","250-9041253-0550212","311001-10x5NJ-AU-FBM","VIVOSUN 5-Pack 10 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","KINGS PARK","NSW","2148","34.99","0","0","0","0","0","-3.67","0","0","0","31.32","Deferred",
"25 Apr 2026 6:06:56 pm GMT+9","10208662943","Order","250-6408558-6474254","311001-20x5NJ-AU-FBM","VIVOSUN 5-Pack 20 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","HELENSVALE","QLD","4212","49.99","0","0","0","0","0","-5.25","0","0","0","44.74","Deferred",
"27 Apr 2026 3:53:58 am GMT+9","10208662943","Service fee","","","Subscription","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-49.95","-49.95","Released","27 Apr 2026 3:53:58 am GMT+9"
"27 Apr 2026 10:10:06 am GMT+9","10208662943","Order","503-4116090-9223856","311001-5x5NJ-AU-FBM","VIVOSUN 5-Pack 5 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.com.au","Seller","PASCOE VALE SOUTH","VIC","3044","28.99","0","0","0","0","0","-3.04","0","0","0","25.95","Deferred",
"27 Apr 2026 10:10:23 am GMT+9","10208662943","Order","249-8921629-0087042","311001-25x5NJ-AU-FBM","VIVOSUN 5-Pack 25 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","DUNDAS VALLEY","NSW","2117","42.99","0","0","0","0","0","-4.51","0","0","0","38.48","Deferred",
"27 Apr 2026 10:12:57 am GMT+9","10208662943","Order","250-6672111-9358241","311001-25x5NJ-AU-FBM","VIVOSUN 5-Pack 25 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","BALD HILLS","QLD","4036","42.99","0","0","0","0","0","-4.51","0","0","0","38.48","Deferred",
"27 Apr 2026 12:46:51 pm GMT+9","10208662943","Order","249-7481668-5472609","311001-20x5NJ-AU-FBM","VIVOSUN 5-Pack 20 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","COOGEE","WA","6166","49.99","0","0","0","0","0","-5.25","0","0","0","44.74","Deferred",
"27 Apr 2026 1:43:04 pm GMT+9","10208662943","Order","250-2003765-1447054","311001-25x5NJ-AU-FBM","VIVOSUN 5-Pack 25 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com.au","Seller","Nerrina","VIC","3350","42.99","0","0","0","0","0","-4.51","0","0","0","38.48","Deferred",
