"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Mar 1, 2026 12:07:45 AM PST","25788732721","Order","113-7303760-7415442","VSF-AWE6-G2x2","VIVOSUN AeroWave E6 Gen2, Grow Tent Clip Fan 6"", EC Motor, Smart Control, Powerful Oscillating Fan, Local Timer, Weatherproof IP54, for Hydroponics Ci","2","amazon.com","Standard Orders","Amazon","POST FALLS","ID","83854","MarketplaceFacilitator","151.98","9.12","0","0","0","0","0","0","0","0","-9.12","-22.80","-21.94","0","0","107.24","Released","Mar 1, 2026 12:07:45 AM PST"
"Mar 1, 2026 12:08:06 AM PST","25788732721","Order","111-1466881-1207412","VSA100-US","VIVOSUN AeroLight A100SE, LED Grow Light 100W with Integrated Circulation Fan, Compatible with App, Used with Growhub Controller E42A/E25 to Achieve M","1","amazon.com","Standard Orders","Amazon","HARTSDALE","NY","10530","MarketplaceFacilitator","109.99","9.21","0","0","0","0","0","0","0","0","-9.21","-16.50","-8.52","0","0","84.97","Released","Mar 1, 2026 12:08:06 AM PST"
"Mar 1, 2026 12:08:07 AM PST","25788732721","Order","112-4500781-2547428","332572J","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Fountain Pump with 10ft. High Lift with 6.5ft. Power Cord, 3 Nozzles for Fish Tank, P","1","amazon.com","Standard Orders","Amazon","SAN MARINO","CA","91108","MarketplaceFacilitator","22.49","2.19","0","0","0","0","0","0","0","0","-2.19","-3.37","-5.80","0","0","13.32","Released","Mar 1, 2026 12:08:07 AM PST"
"Mar 1, 2026 12:08:15 AM PST","25788732721","Order","113-0031620-6356205","305131-PENJ","VIVOSUN Digital pH Meter, 0.01pH High Accuracy Pen Type pH Tester for Hydroponics, Household Drinking, Pool and Aquarium, Yellow, UL Certified","1","amazon.com","Standard Orders","Amazon","HILLSBOROUGH","NJ","08844","MarketplaceFacilitator","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Released","Mar 1, 2026 12:08:15 AM PST"
"Mar 1, 2026 12:08:48 AM PST","25788732721","Order","112-6359654-6327408","VSV-IFM4","VIVOSUN M4 4-Inch Inline Duct Fan, 195 CFM Ventilation Fan with EC Motor, Adjustable Speed, Energy-efficient Vent Blower for HVAC, Grow Tent, Hydropon","1","amazon.com","Standard Orders","Amazon","KENOSHA","WI","53140","MarketplaceFacilitator","35.39","1.95","0","0","0","0","0","0","0","0","-1.95","-5.31","-7.30","0","0","22.78","Released","Mar 1, 2026 12:08:48 AM PST"
"Mar 1, 2026 12:08:57 AM PST","25788732721","Order","111-8361229-4948241","330101x2NJ","VIVOSUN 2 Pack Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Gre","1","amazon.com","Standard Orders","Amazon","OMAHA","NE","68144","MarketplaceFacilitator","25.19","1.76","0","0","0","0","0","0","0","0","-1.76","-3.78","-5.57","0","0","15.84","Released","Mar 1, 2026 12:08:57 AM PST"
"Mar 1, 2026 12:09:11 AM PST","25788732721","Order","112-4044497-2766647","AP-25","VIVOSUN Commercial Air Pump 634GPH, 25W, 40L/min 6 Outlet for Aquarium and Hydroponic Systems","1","amazon.com","Standard Orders","Amazon","SPRING","TX","77373","MarketplaceFacilitator","35.99","2.97","1.00","0","0","0","0","0","-1.00","0","-2.97","-5.40","-6.12","0","0","24.47","Released","Mar 1, 2026 12:09:11 AM PST"
"Mar 1, 2026 12:09:26 AM PST","25788732721","Order","113-3806813-8145850","311001-20x5NJ","VIVOSUN 5-Pack 20 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","EVANS","GA","30809","MarketplaceFacilitator","20.49","1.64","1.49","0","0","0","0","0","-1.49","0","-1.64","-3.07","-7.14","0","0","10.28","Released","Mar 1, 2026 12:09:26 AM PST"
"Mar 1, 2026 12:09:31 AM PST","25788732721","Order","113-2921922-9048241","330103CNJ","VIVOSUN 48"" x 20.75"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Garden","2","amazon.com","Standard Orders","Amazon","Glen Arm Md","Md","21057","MarketplaceFacilitator","113.98","6.84","0","0","0","0","0","0","0","0","-6.84","-17.10","-17.38","0","0","79.50","Released","Mar 1, 2026 12:09:31 AM PST"
"Mar 1, 2026 12:09:32 AM PST","25788732721","Order","113-4857418-8708235","SPray-2L-BG","VIVOSUN 0.5Gal Handheld Garden Sprayer, 2L Pump Sprayer, 68 Oz Water Spray Bottle with Safety Valve, Adjustable Nozzle, Extended Spray Rod & Additiona","1","amazon.com","Standard Orders","Amazon","CLOVIS","CA","93611","MarketplaceFacilitator","19.79","1.78","1.50","0","0","0","0","0","-1.50","0","-1.78","-2.97","-6.82","0","0","10.00","Released","Mar 1, 2026 12:09:32 AM PST"
