"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Date/Time: Posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with a start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction status","Transaction Release Date"
"Apr 1, 2026 10:52:11 a.m. PDT","25978195091","Order","701-7027908-0129851","COMBO-01K","VIVOSUN PH Meter TDS Meter and Soil Tester Combo","1","amazon.ca","Amazon","Belle Ewart","Ontario","L0L 1W","Combined TCS+MTC","22.79","2.96","3.92","0","0","0","0","0","-3.92","0","-2.96","-3.42","-7.12","0","0","12.25","Released","Apr 1, 2026 10:52:11 a.m. PDT"
"Apr 1, 2026 10:53:54 a.m. PDT","25978195091","Order","702-2037743-8401831","311008-05x50K","VIVOSUN 50-Pack 5 Gallon Grow Bags for Plants, Black-and-White Material for Potting Up Seedlings and Rooting","1","amazon.ca","Amazon","S. Woodslee","Ontario","N0R 1V","Combined TCS+MTC","26.09","3.39","3.27","0","0","0","0","0","-3.27","0","-3.39","-3.91","-10.41","0","0","11.77","Released","Apr 1, 2026 10:53:54 a.m. PDT"
"Apr 1, 2026 10:54:42 a.m. PDT","25978195091","Order","701-1133635-0581867","311001-15x5K","VIVOSUN 5-Pack 15 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.ca","Amazon","London","Ontario","N5Y 4K","Combined TCS+MTC","29.99","3.90","11.99","1.56","0","0","0","0","0","0","-5.46","-4.50","-22.25","0","0","15.23","Released","Apr 1, 2026 10:54:42 a.m. PDT"
"Apr 1, 2026 10:57:02 a.m. PDT","25978195091","Order","701-0839798-3044222","311001-7*5K","VIVOSUN 5-Pack 7 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.ca","Amazon","Surrey","British Columbia","V3S 3V","Combined TCS+MTC","22.98","2.76","0","0","0","0","0","0","0","0","-2.76","-3.45","-7.82","0","0","11.71","Released","Apr 1, 2026 10:57:02 a.m. PDT"
"Apr 1, 2026 10:57:33 a.m. PDT","25978195091","Order","701-3006234-6669852","332572K","VIVOSUN 800GPH Submersible Pump(3000L/H, 24W), Ultra Quiet Water Pump with 10ft High Lift, Fountain Pump with 5ft Power Cord, 3 Nozzles for Fish Tank,","1","amazon.ca","Amazon","Venise-En-Quebec","Quebec","J0J 2K","Combined TCS+MTC","39.99","5.99","0","0","0","0","0","0","0","0","-5.99","-6.00","-8.25","0","0","25.74","Released","Apr 1, 2026 10:57:33 a.m. PDT"
"Apr 1, 2026 10:57:44 a.m. PDT","25978195091","Refund","701-8595775-6025021","308122K","VIVOSUN Poly Film 10' x 100' 5.5 Mil Black and White Panda Film","1","amazon.ca","Amazon","Milton","Ontario","L9T 7B","Combined TCS+MTC","-104.49","-13.58","0","0","0","0","0","0","0","0","13.58","12.54","0","0","0","-91.95","Released","Apr 1, 2026 10:57:44 a.m. PDT"
"Apr 1, 2026 10:58:03 a.m. PDT","25978195091","Order","702-8163541-0040227","306101W-4K","VIVOSUN D4 4 Inch 195 CFM Inline Duct Ventilation Fan HVAC Vent Blower for Hydroponics Grow Tent","1","amazon.ca","Amazon","Quebec","Quebec","G1P 3Y","Combined TCS+MTC","41.99","6.29","0","0","0","0","0","0","0","0","-6.29","-6.30","-9.09","0","0","26.60","Released","Apr 1, 2026 10:58:03 a.m. PDT"
"Apr 1, 2026 11:02:18 a.m. PDT","25978195091","Order","702-1865501-1868206","311003-4K","VIVOSUN 6.5 Inch Gardening Scissors Hand Pruner Pruning Shear with Straight Stainless Steel Blades Orange 1-Pack","1","amazon.ca","Amazon","Guelph","Ontario","N1C 1B","Combined TCS+MTC","9.59","1.25","0","0","0","0","0","0","0","0","-1.25","-1.44","-3.61","0","0","4.54","Released","Apr 1, 2026 11:02:18 a.m. PDT"
"Apr 1, 2026 11:12:49 a.m. PDT","25978195091","Order","702-5749402-0830668","L000001-10K","VIVOSUN 6 Mil Mylar Film Roll 4 FT X 10 FT Diamond Film Foil Roll Highly Reflective Grow Room (10 FT)","1","amazon.ca","Amazon","Terrebonne","Québec","J6W5C","Combined TCS+MTC","33.29","4.99","0","0","0","0","0","0","0","0","-4.99","-4.99","-14.67","0","0","13.63","Released","Apr 1, 2026 11:12:49 a.m. PDT"
"Apr 1, 2026 11:15:37 a.m. PDT","25978195091","Order","702-2883845-0961034","311001-5*5K","VIVOSUN 5-Pack 5 Gallons Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.ca","Amazon","Cornwall","Ontario","K6J 2V","Combined TCS+MTC","18.89","2.46","0","0","0","0","0","0","0","0","-2.46","-2.83","-7.59","0","0","8.47","Released","Apr 1, 2026 11:15:37 a.m. PDT"
