"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"date/time: posted date/time of the transaction"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"Note: Reports with start date of Jan 1, 2025 or later are indexed by posted date, include both released and deferred transactions and have two new columns. You may need to update integrations or third-party mappings."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total","Transaction Status","Transaction Release Date"
"Apr 1, 2026 12:02:08 AM PDT","26013994431","Order","113-9404839-0281810","311001-2x5NJ","VIVOSUN 5-Pack 2 Gallon Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","PONTIAC","MI","48341","MarketplaceFacilitator","11.89","0.71","0","0","0","0","0","0","0","0","-0.71","-1.78","-4.13","0","0","5.98","Released","Apr 1, 2026 12:02:08 AM PDT"
"Apr 1, 2026 12:02:11 AM PDT","26013994431","Order","114-5388816-8198600","Spray-SX-CS8","VIVOSUN 2.1 Gal/8L Pump Sprayer, Garden Water Sprayer for Plants, Weeds & Lawn Care, with 3 Nozzles, 50'' Long Hose & Pressure Relief Valve","1","amazon.com","Standard Orders","Amazon","DAYTON","OH","45417","MarketplaceFacilitator","39.09","2.93","0","0","0","0","0","0","0","0","-2.93","-5.86","-10.59","0","0","22.64","Released","Apr 1, 2026 12:02:11 AM PDT"
"Apr 1, 2026 12:02:11 AM PDT","26013994431","Order","112-4246680-1424263","306104-4C","VIVOSUN 4 Inch Flexible Aluminum Ducting, 25 Feet Long Flex Air Duct with 2 Clamps, Heavy-Duty Multi-Layer Dryer Hose Vent Kit for Heating Cooling Ven","1","amazon.com","Standard Orders","Amazon","COUNCIL BLUFFS","IA","51503","MarketplaceFacilitator","19.94","1.40","2.99","0","0","0","0","0","-2.99","0","-1.40","-2.99","-6.12","0","0","10.83","Released","Apr 1, 2026 12:02:11 AM PDT"
"Apr 1, 2026 12:02:16 AM PDT","26013994431","Order","113-7899497-3225064","330104CNJ","VIVOSUN 3"" x 20"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Heating Pad for Hydroponic, Kombucha Tea, Brewing, Fermentatio","1","amazon.com","Standard Orders","Amazon","FERNDALE","MI","48220","MarketplaceFacilitator","22.09","1.33","0","0","0","0","0","0","0","0","-1.33","-3.31","-4.95","0","0","13.83","Released","Apr 1, 2026 12:02:16 AM PDT"
"Apr 1, 2026 12:02:48 AM PDT","26013994431","Order","112-6272483-5476213","311021-10x5J","VIVOSUN 5-Pack 10 Gallons Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Strap Handles Tan","1","amazon.com","Standard Orders","Amazon","FRISCO","TX","75033","MarketplaceFacilitator","17.84","1.47","0","0","0","0","0","0","0","0","-1.47","-2.68","-5.80","0","0","9.36","Released","Apr 1, 2026 12:02:48 AM PDT"
"Apr 1, 2026 12:02:48 AM PDT","26013994431","Order","111-2266822-6529836","311005-3J","VIVOSUN 1.35-Gallon Pump Pressure Sprayer, Pressurized Lawn & Garden Water Spray Bottle with Adjustable Shoulder Strap, for Spraying Plants, Garden Wa","1","amazon.com","Standard Orders","Amazon","WHEATFIELD","IN","46392","MarketplaceFacilitator","26.99","1.89","1.50","0","0","0","0","0","-1.50","0","-1.89","-4.05","-7.94","0","0","15.00","Released","Apr 1, 2026 12:02:48 AM PDT"
"Apr 1, 2026 12:03:36 AM PDT","26013994431","Order","114-9500519-6059423","311001-5x5NJ","VIVOSUN 5-Pack 5 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","SHERMAN","TX","75092","MarketplaceFacilitator","13.59","1.12","0","0","0","0","0","0","0","0","-1.12","-2.04","-5.47","0","0","6.08","Released","Apr 1, 2026 12:03:36 AM PDT"
"Apr 1, 2026 12:03:36 AM PDT","26013994431","Order","114-9500519-6059423","311001-10x5NJ","VIVOSUN 5-Pack 10 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","SHERMAN","TX","75092","MarketplaceFacilitator","17.84","1.47","0","0","0","0","0","0","0","0","-1.47","-2.68","-5.97","0","0","9.19","Released","Apr 1, 2026 12:03:36 AM PDT"
"Apr 1, 2026 12:03:44 AM PDT","26013994431","Order","114-8683821-2099468","CC-001","VIVOSUN Coco Coir Brick, 1.4lbs 100% Natural Organic Compressed Coconut Coir Fiber with Low EC, PH Balance & High Nutrition, Coconut Fiber Substrate,","1","amazon.com","Standard Orders","Amazon","KELLER","TX","76244","MarketplaceFacilitator","9.99","0.70","0","0","0","0","0","0","-1.00","0","-0.70","-1.35","-4.60","0","0","3.04","Released","Apr 1, 2026 12:03:44 AM PDT"
"Apr 1, 2026 12:03:56 AM PDT","26013994431","Order","112-2636731-9720236","330101x2NJ","VIVOSUN 2 Pack Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Gre","1","amazon.com","Standard Orders","Amazon","CONKLIN","NY","13748","MarketplaceFacilitator","21.41","1.71","0","0","0","0","0","0","0","0","-1.71","-3.21","-5.47","0","0","12.73","Released","Apr 1, 2026 12:03:56 AM PDT"
"Apr 1, 2026 12:04:16 AM PDT","26013994431","Order","113-2405376-9610658","330103CNJ","VIVOSUN 48"" x 20.75"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Garden","1","amazon.com","Standard Orders","Amazon","WEST BEND","IA","50597","MarketplaceFacilitator","48.44","3.39","0","0","0","0","0","0","0","0","-3.39","-7.27","-8.69","0","0","32.48","Released","Apr 1, 2026 12:04:16 AM PDT"
"Apr 1, 2026 12:04:37 AM PDT","26013994431","Order","111-3616329-7138662","VS-THB1S","VIVOSUN AeroLab THB1S Wireless Bluetooth Hygrometer Thermometer Indoor, VPD, Digital Temp Humidity Meter, LCD Smart App Control & Alert, Data Storage,","1","amazon.com","Standard Orders","Amazon","AZLE","TX","76020","MarketplaceFacilitator","18.99","1.49","5.22","0.43","0","0","0","0","-0.95","0","-3.84","-5.42","-14.51","0","0","1.41","Released","Apr 1, 2026 12:04:37 AM PDT"
"Apr 1, 2026 12:04:37 AM PDT","26013994431","Order","111-3616329-7138662","VS-THB1S","VIVOSUN AeroLab THB1S Wireless Bluetooth Hygrometer Thermometer Indoor, VPD, Digital Temp Humidity Meter, LCD Smart App Control & Alert, Data Storage,","1","amazon.com","Standard Orders","Amazon","AZLE","TX","76020","","18.99","1.49","5.23","0.43","0","0","0","0","-0.95","0","0","0","-4.06","0","0","21.13","Released","Apr 1, 2026 12:04:37 AM PDT"
"Apr 1, 2026 12:04:44 AM PDT","26013994431","Order","111-0629940-7651465","330103CNJ","VIVOSUN 48"" x 20.75"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Garden","1","amazon.com","Standard Orders","Amazon","Mt Vernon","IA","52314","MarketplaceFacilitator","48.44","3.39","0","0","0","0","0","0","0","0","-3.39","-7.27","-8.69","0","0","32.48","Released","Apr 1, 2026 12:04:44 AM PDT"
"Apr 1, 2026 12:05:14 AM PDT","26013994431","Order","112-8150663-3638644","HSB950-1800LNJ","VIVOSUN 480GPH Submersible Pump(1800L/H, 25W), Ultra Quiet Water Pump with 7.2ft High Lift, Fountain Pump with 5ft Power Cord, 3 Nozzles for Fish Tank","1","amazon.com","Standard Orders","Amazon","ATLANTA","GA","30345","MarketplaceFacilitator","15.29","1.22","0","0","0","0","0","0","0","0","-1.22","-2.29","-5.33","0","0","7.67","Released","Apr 1, 2026 12:05:14 AM PDT"
"Apr 1, 2026 12:05:19 AM PDT","26013994431","Order","111-2186969-6043455","RC-0003","VIVOSUN 1 Inch Rockwool Cubes, 100 Plugs Grow Cubes for Hydroponics, Cuttings, Cloning, Plant Propagation, Seed Startling","1","amazon.com","Standard Orders","Amazon","HUFFMAN","TX","77336","MarketplaceFacilitator","8.99","0.56","0","0","0","0","0","0","0","0","-0.56","-1.35","-3.70","0","0","3.94","Released","Apr 1, 2026 12:05:19 AM PDT"
"Apr 1, 2026 12:05:19 AM PDT","26013994431","Order","114-2729672-6461048","311001-20x5NJ","VIVOSUN 5-Pack 20 Gallon Plant Grow Bags, Heavy Duty Thickened Nonwoven Fabric Pots with Handles","1","amazon.com","Standard Orders","Amazon","YORKTOWN","VA","23693","MarketplaceFacilitator","20.39","1.43","0","0","0","0","0","0","0","0","-1.43","-3.06","-7.14","0","0","10.19","Released","Apr 1, 2026 12:05:19 AM PDT"
"Apr 1, 2026 12:05:35 AM PDT","26013994431","Order","114-9943234-0973837","330103CNJ","VIVOSUN 48"" x 20.75"" Seedling Heat Mat and Digital Thermostat Combo Set, UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Garden","2","amazon.com","Standard Orders","Amazon","SALINE","MI","48176","MarketplaceFacilitator","96.88","5.82","0","0","0","0","0","0","0","0","-5.82","-14.54","-17.38","0","0","64.96","Released","Apr 1, 2026 12:05:35 AM PDT"
"Apr 1, 2026 12:05:36 AM PDT","26013994431","Order","113-0834741-2869069","330101x2NJ","VIVOSUN 2 Pack Durable Waterproof Seedling Heat Mat 10"" x 20.75"" UL & MET-Certified Warm Hydroponic Heating Pad for Germination, Indoor Gardening, Gre","1","amazon.com","Standard Orders","Amazon","MILWAUKEE","WI","53212","MarketplaceFacilitator","21.41","1.69","0","0","0","0","0","0","0","0","-1.69","-3.21","-5.47","0","0","12.73","Released","Apr 1, 2026 12:05:36 AM PDT"
