"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"data/ora: data e ora della transazione pubblicata"
"Imposta sulle vendite riscossa: include l'imposta sulle vendite riscossa dagli acquirenti per la vendita, la spedizione e la confezione regalo dei prodotti."
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Nota: i report con data di inizio del 1° gennaio 2025 o successiva sono indicizzati in base alla data di pubblicazione, includono sia le transazioni di rilascio che quelle differite e contengono due nuove colonne. Potrebbe essere necessario aggiornare le integrazioni o le associazioni di terzi."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","modello di riscossione delle imposte","Vendite","imposta sulle vendite dei prodotti","Accrediti per le spedizioni","imposta accrediti per le spedizioni","Accrediti per confezioni regalo","imposta sui crediti confezione regalo","Sconti promozionali","imposta sugli sconti promozionali","trattenuta IVA del marketplace","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale","Stato della transazione","Data di rilascio della transazione"
"2 apr 2026 00:52:00 UTC","26822013862","Ordine","402-1833754-8205910","VSE-UH075-EU-M","VIVOSUN AeroStream U075 Umidificatore, Mini Umidificatore a Nebbia Fredda da 750ml con 2 modalità di Nebbia, Spegnimento Automatico, Controllo Intell","1","amazon.it","Venditore","VILLAR PEROSA","Torino","10069","MarketplaceFacilitator","30,32","6,67","0","0","0","0","0","0","-6,67","-5,55","0","-0,17","0","24,60","Emesso","16 apr 2026 22:39:02 UTC"
"2 apr 2026 00:52:15 UTC","26822013862","Ordine","171-9432368-8845959","VSE-ASH19-EU-M","VIVOSUN H19 Umidificatore Ambientale Intelligente da 19L con Sonda di Temperatura e Umidità, AeroStream H19 con Pannello di Controllo, Controllo Inte","1","amazon.it","Venditore","Verona","VR","37139","","219,99","0","0","0","0","0","0","0","0","-33,00","0","-0,99","0","186,00","Emesso","15 apr 2026 23:58:32 UTC"
"2 apr 2026 00:52:16 UTC","26822013862","Ordine","404-8370727-0990748","VSI-FFSW6-4-EU-M","VIVOSUN Confezione da 4 pezzi FlexFeed Self-Watering Irrigation Pot, Auto Irrigation Fabric Pot Base with Water Meter & Maintenance Window, for use in","1","amazon.it","Venditore","San Damaso","MO","41126","MarketplaceFacilitator","65,57","14,42","0","0","0","0","0","0","-14,42","-12,00","0","-0,36","0","53,21","Emesso","15 apr 2026 16:34:16 UTC"
"2 apr 2026 02:34:06 UTC","26822013862","Ordine","406-8061086-5624309","VSF-AWD4x2-EU","VIVOSUN Ventilatore Da 10 cm AeroWave D4 2 Pezzi, Con Gancio Removibile, Flusso Potente E Silenzioso, 3 Velocità, Angolo Regolabile, Per Idroponica,","1","amazon.it","Amazon","Palermo","PA","90149","MarketplaceFacilitator","32,78","7,21","0","0","0","0","0","0","-7,21","-6,00","-9,06","-0,18","0","17,54","Emesso","14 apr 2026 22:40:13 UTC"
"2 apr 2026 09:10:37 UTC","26822013862","Ordine","406-3624644-1770737","311001-3x5-EU","VIVOSUN confezione da 5 vasi in tessuto addensato da 12L per impieghi gravosi, sacchetto per piantine in tessuto non tessuto con manici per ortaggi, f","1","amazon.it","Venditore","Ferrara","Ferrara","44122","MarketplaceFacilitator","14,75","3,24","0","0","0","0","0","0","-3,24","-2,70","0","-0,08","0","11,97","Emesso","16 apr 2026 21:26:08 UTC"
"2 apr 2026 10:55:30 UTC","26822013862","Ordine","407-7046771-1609119","VSL-LL100-EU","VIVOSUN LumaLight Lampada LED per Coltivazione, Luce a Spettro Completo per Piante, 100W Smart Dimmerabile con PPFD Elevato per Piante da Interno, Sem","1","amazon.it","Amazon","VILLADOSE","Rovigo","45010","","92,43","0","0","0","0","0","0","0","0","-16,50","-25,14","-0,50","0","50,29","Emesso","15 apr 2026 23:52:33 UTC"
"3 apr 2026 00:54:00 UTC","26822013862","Ordine","404-9484854-8592344","306101S-4-EU-FBM","VIVOSUN Ventilatore A Canale 100mm Estrazione 345m³/h, Ventilatore Tubolare con Regolatore di velocità Variabile per Ventilazione Grow Tent, Coltiva","1","amazon.it","Venditore","OLGINATE","LC","23854","MarketplaceFacilitator","65,57","14,42","0","0","0","0","0","0","-14,42","-12,00","0","-0,36","0","53,21","Emesso","16 apr 2026 12:11:34 UTC"
"3 apr 2026 05:22:29 UTC","26902670922","Ordine","408-2814307-7639500","305140-PEN-EU-FBM","VIVOSUN Kit misuratore digitale pH e TDS, 0,01 pH, ad alta precisione, tipo penna ± 2%, precisione di lettura 3 in 1, misuratore di temperatura TDS E","1","amazon.it","Venditore","Marsala","TP","91025","MarketplaceFacilitator","23,75","5,23","0","0","0","0","0","0","-5,23","-4,35","0","-0,13","0","19,27","Emesso","23 apr 2026 12:31:14 UTC"
"3 apr 2026 12:48:43 UTC","26732740482","Rimborso","408-0714152-8969124","VSF-AWD4-EU","VIVOSUN Ventilatore Da 10 cm AeroWave D4, Con Gancio Removibile, Flusso Potente E Silenzioso, 3 Velocità, Angolo Aggiustabile, Per Idroponica, Circol","1","amazon.it","Amazon","Ascona","Ticino","66","MarketplaceFacilitator","-22,94","-1,86","-1,62","-0,13","0","0","1,62","0,13","1,86","3,36","0","0,13","0","-19,45","Emesso","7 apr 2026 08:15:22 UTC"
"4 apr 2026 00:56:27 UTC","26822013862","Ordine","407-0461990-8364326","VSL-LRUC100-EU-FBM","VIVOSUN LumaRay Lampada LED Grow Under Canopy, Spettro Completo Dimmerabile per Grow Tent e Serre, Compatibile SGS, 100W, Confezione da 1, 1 m","1","amazon.it","Venditore","Foligno","Perugia","06034","MarketplaceFacilitator","106,55","23,44","0","0","0","0","0","0","-23,44","-19,50","0","-0,59","0","86,46","Emesso","16 apr 2026 21:13:20 UTC"
