"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"date/heure : date/heure postée de la transaction"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"Remarque : les rapports dont la date de début est le 1er janvier 2025 ou une date ultérieure sont indexés par date publiée. Ils incluent à la fois les transactions effectuées et les transactions différées, et disposent de deux nouvelles colonnes. Vous devrez peut-être mettre à jour des intégrations ou des mappages tiers."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total","Statut de la transaction","Date de sortie de la transaction"
"2 avr. 2026 10:46:07 UTC","26821642572","Commande","403-4271801-1500368","VSV-AZT6-EU","VIVOSUN Ventilateur Conduit AeroZesh T6 150 mm 693 m³/h Ventilateur Extraction E12 Régulateur Vitesse PWM Programmables Tentes Culture Ventilation I","1","amazon.fr","Amazon","La bastide de Sérou","","09240","MarketplaceFacilitator","78,74","15,75","0","0","0","0","0","0","-15,75","-14,17","-7,99","-0,67","0","55,91","Sorti","11 avr. 2026 14:06:10 UTC"
"2 avr. 2026 11:03:16 UTC","26821642572","Commande","405-5862295-8244364","311003-4X2NJ-EU","VIVOSUN Lot de 2 Sécateur de Jardin 17 cm, Poignée Ergonomique, Lame Droite en Acier Inoxydable avec Revêtement en Titane, Poignée Verrouillable,","1","amazon.fr","Amazon","Pusignan","","69330","MarketplaceFacilitator","10,82","2,17","0","0","0","0","0","0","-2,17","-1,95","-2,81","-0,14","0","5,92","Sorti","10 avr. 2026 15:25:56 UTC"
"2 avr. 2026 14:29:40 UTC","26821642572","Commande","403-7131752-6992360","311003-5-EU","VIVOSUN Sécateur de Jardin 17 cm, Poignée Ergonomique, Lame Droite Acier Inoxydable, Lame Antiadhésive Revêtue Titane, Poignée Verrouillable, Con","1","amazon.fr","Amazon","AULNAY SOUS BOIS","","93600","MarketplaceFacilitator","9,16","1,83","0","0","0","0","0","0","-1,83","-1,65","-2,79","-0,13","0","4,59","Sorti","15 avr. 2026 22:35:02 UTC"
"2 avr. 2026 15:10:16 UTC","26821642572","Commande","403-9653540-0874709","306143-0616-EU","VIVOSUN Filtre à Charbon Actif 150mm Filtre à Charbon avec Préfiltre et Bride Réversible Filtre Charbon Purificateur d'Air pour Ventilateur en Lig","1","amazon.fr","Amazon","Mougins","","06250","MarketplaceFacilitator","74,99","15,00","0","0","0","0","-7,50","-1,50","-13,50","-12,15","-7,99","-0,60","0","46,75","Sorti","11 avr. 2026 19:50:18 UTC"
"2 avr. 2026 15:49:00 UTC","26821642572","Commande","403-3340532-9763517","306146-0412-EU","VIVOSUN Filtre à Charbon Actif 100mm pour Contrôle Odeurs Charbon Vierge d'Australie pour Ventilateur en Ligne, Epurateur Odeurs pour Tente de Cultu","1","amazon.fr","Amazon","Annesse et Beaulieu","","24430","MarketplaceFacilitator","46,61","9,32","0","0","0","0","-4,66","-0,93","-8,39","-7,55","-6,90","-0,44","0","27,06","Sorti","10 avr. 2026 22:23:01 UTC"
"3 avr. 2026 00:45:45 UTC","26821642572","Commande","404-1094100-2081922","VS-THB1S-EU","VIVOSUN AeroLab THB1 Thermomètre Hygromètre Bluetooth sans Fil Moniteur de Température Intelligent VPD Humidimètre Numérique Télécommande&Alert","1","amazon.fr","Amazon","St Michel Sur Ternoise","","62130","MarketplaceFacilitator","23,58","4,72","0","0","0","0","0","0","-4,72","-3,68","-4,49","-0,24","0","15,17","Sorti","10 avr. 2026 22:07:54 UTC"
"3 avr. 2026 00:52:28 UTC","26821642572","Commande","405-7511569-3061925","VSGB-5-EU-M","VIVOSUN Lot 5 Sac de Plantation 20L Sacs de Culture Tissu Non Tissé Sac à Plantes 500g/m² Épaisseur, Pots Tissu avec Poignées et Anneaux Polyvale","1","amazon.fr","Vendeur","Lys-Haut-Layon","","49560","MarketplaceFacilitator","23,32","4,67","0","0","0","0","0","0","-4,67","-4,20","0","-0,13","0","18,99","Sorti","17 avr. 2026 22:57:13 UTC"
"3 avr. 2026 00:52:51 UTC","26821642572","Commande","402-8667568-0054758","VSE-ASH05-EU-M","VIVOSUN Humidificateur D'Air pour Plantes 5L Humidificateur Intelligent Plantes, Aerostream H05 24DB Silencieux Brume Fraîche 360° 50H Remplissage F","1","amazon.fr","Vendeur","Troyes","","10000","MarketplaceFacilitator","66,66","13,33","0","0","0","0","0","0","-13,33","-12,00","0","-0,36","0","54,30","Sorti","16 avr. 2026 22:51:43 UTC"
"3 avr. 2026 00:53:22 UTC","26821642572","Commande","408-1535632-4584359","VSF-AWE6W-G2-EU-FBM","VIVOSUN Ventilateur de Culture Oscillant, Ventilateur à Pince 150mm, Contrôle Par APP Wi-Fi Intelligent, 10 Vitesses & 2 Modes, Circulateur d'Air po","1","amazon.fr","Vendeur","Marseille","","13001","MarketplaceFacilitator","40,37","8,07","0","0","0","0","0","0","-8,07","-7,27","0","-0,22","0","32,88","Sorti","17 avr. 2026 21:55:17 UTC"
"3 avr. 2026 00:53:23 UTC","26821642572","Commande","408-4081618-6229934","306143-0820-EU-FBM","VIVOSUN 20CM Filtre à Charbon à Air pour Contrôle Odeurs Charbon Vierge d'Australie pour Ventilateur en Ligne, Epurateur Odeurs pour Tente de Cultu","1","amazon.fr","Vendeur","Bordeaux","FRANCE","33000","","124,99","0","0","0","0","0","0","0","0","-18,75","0","-0,56","0","105,68","Sorti","16 avr. 2026 08:22:33 UTC"
