"Incluye transacciones del Marketplace de Amazon, Logística de Amazon y Amazon Webstore"
"Todos los importes en EUR, a menos que se especifique lo contrario"
"Definiciones:"
"fecha/hora: fecha y hora de publicación de la transacción"
"Recaudación de impuestos sobre ventas: incluye los impuestos sobre ventas recaudados al comprador respecto al producto, el envío y el envoltorio para regalo."
"Tarifas por venta: incluyen tarifas variables por cierre de venta y tarifas por referencia."
"Tarifas de otras transacciones: incluye reintegros de los cargos por envío, retenciones de envío y tarifas de impuestos sobre ventas."
"Otro: incluye importes de transacciones distintas del pedido. Para mas información, consulta las columnas ""Tipo"" y ""Descripción"" de cada número de pedido."
"Nota: Los informes con fecha de inicio del 1 de enero de 2025 o posterior se indexan por fecha de publicación, incluyen las transacciones liberadas y diferidas y tienen dos nuevas columnas. Es posible que tengas que actualizar las integraciones o asignaciones de terceros."
"fecha y hora","identificador de pago","tipo","número de pedido","sku","descripción","cantidad","web de Amazon","gestión logística","ciudad de procedencia del pedido","comunidad autónoma de procedencia del pedido","código postal de procedencia del pedido","Formulario de recaudación de impuestos","ventas de productos","impuesto de ventas de productos","abonos de envío","impuestos por abonos de envío","abonos de envoltorio para regalo","impuestos por abonos de envoltorio para regalo","devoluciones promocionales","impuestos de descuentos por promociones","impuesto retenido en el sitio web","tarifas de venta","tarifas de Logística de Amazon","tarifas de otras transacciones","otro","total","Estado de la transacción","Fecha de liberación de la transacción"
"3 abr 2026 0:53:28 UTC","26822401742","Pedido","406-8074913-2948335","GT-Pole-EU-M","VIVOSUN Kit de Tienda de Cultivo de Alto CFM, Rango de Poste Verde de 24""-48"", Adecuado para Tienda de Campaña de Cultivo de 2'x2', 3'x3', 4'x2' y 4'","1","amazon.es","Vendedor","Can Parellada (masquefa)","Barcelona","08783","MarketplaceFacilitator","37,18","7,81","0","0","0","0","0","0","-7,81","-6,75","0","-0,20","0","30,23","Liberada","17 abr 2026 22:46:05 UTC"
"3 abr 2026 2:44:07 UTC","26822401742","Pedido","408-4621665-0415538","VSF-AWD4x2-EU","VIVOSUN Pack de 2 Ventiladores de Pinza Oscilantes AeroWave D4 10cm para Cultivo, 3 Velocidades, Flujo de Aire Fuerte y Silencioso, Ángulo Ajustable,","1","amazon.es","Amazon","Zaragoza","Zaragoza","50007","MarketplaceFacilitator","35,53","7,46","0","0","0","0","0","0","-7,46","-6,45","-3,86","-0,19","0","25,03","Liberada","12 abr 2026 14:46:41 UTC"
"4 abr 2026 0:52:52 UTC","26822401742","Pedido","402-0559319-1825156","VSE-UH075-EU-M","VIVOSUN Humidificador USB 750 ml, AeroStream U075 Humidificador de Niebla Fría con 2 Modos de Niebla, Apagado Automático, Control Remoto Inteligente","1","amazon.es","Vendedor","Ceclavín","Caceres","10870","MarketplaceFacilitator","30,57","6,42","0","0","0","0","0","0","-6,42","-5,55","0","-0,17","0","24,85","Liberada","17 abr 2026 20:44:45 UTC"
"4 abr 2026 0:53:07 UTC","26902805082","Pedido","407-1387257-4205113","311001-5x5-EU-FBM","VIVOSUN Bolsa de Cultivo 5 Unidades 20 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Vendedor","Badalona","Barcelona","08918","MarketplaceFacilitator","20,65","4,34","0","0","0","0","0","0","-4,34","-3,75","0","-0,11","0","16,79","Liberada","5 may 2026 22:28:13 UTC"
"4 abr 2026 0:55:57 UTC","26822401742","Pedido","402-9613235-0435551","311001-10x5-EU-M","VIVOSUN Bolsa de Cultivo 5 Unidades 40 L, Grow Bags de Tela No Tejida Reforzada con Asas, para Verduras, Flores, Frutas, Invernadero y Jardín","1","amazon.es","Vendedor","Cangas","Pontevedra","36940","MarketplaceFacilitator","23,13","4,86","0","0","0","0","0","0","-4,86","-4,20","0","-0,13","0","18,80","Liberada","20 abr 2026 21:09:02 UTC"
"4 abr 2026 7:43:41 UTC","26822401742","Pedido","405-6902011-6905105","311003-4-EU","VIVOSUN Tijeras de Jardín 17cm Tijeras de Plantas con Mangos Ergonomicos Tijeras de Poda con Cuchillas Rectas y Revestimiento Antiadherente Titanio T","1","amazon.es","Amazon","Esplugues de Llobregat","Barcelona","08950","MarketplaceFacilitator","11,56","2,43","0,66","0,14","0","0","-0,66","-0,14","-2,43","-2,10","-2,55","-0,06","0","6,85","Liberada","16 abr 2026 18:36:57 UTC"
"4 abr 2026 17:21:38 UTC","26822401742","Pedido","404-6615806-2437969","306146-0412-EU","VIVOSUN Filtro de Carbón Activo 100mm Negro | con Prefiltro, Brida Reversible y Carbón Australiano | Control de Olores para Tentes de Cultivo, Venti","1","amazon.es","Amazon","Grao (moncofa)","Comunitat Valenciana","12593","MarketplaceFacilitator","42,68","8,96","0","0","0","0","0","0","-8,96","-7,75","-4,78","-0,23","0","29,92","Liberada","12 abr 2026 9:51:37 UTC"
"4 abr 2026 21:44:23 UTC","26822401742","Pedido","405-3487755-9754716","332022-2-EU","VIVOSUN Paquete de 2 lupas Plegables iluminadas de 30X 60X con luz LED para Joyas, Gemas, Relojes, Monedas, Sellos, Antiguos, Color Negro","1","amazon.es","Amazon","A Coruña","A Coruña","15006","MarketplaceFacilitator","17,41","3,66","0","0","0","0","0","0","-3,66","-3,16","-3,74","-0,09","0","10,42","Liberada","12 abr 2026 21:07:34 UTC"
"4 abr 2026 23:32:49 UTC","26822401742","Pedido","404-0996917-0420362","304113-2014-EU","VIVOSUN Tienda de Cultivo Pequeña 50x36x54cm, Cultivo Hidropónico, Tienda de Cultivo Interior de Mylar Altamente Reflectante, Fondo Sellado, Ventana","1","amazon.es","Amazon","Guarda","Guarda","","MarketplaceFacilitator","38,01","8,74","0","0","0","0","0","0","-8,74","-6,90","-4,78","-0,21","0","26,12","Liberada","13 abr 2026 20:09:11 UTC"
"5 abr 2026 1:08:22 UTC","26822401742","Pedido","408-1124162-5428335","VS-THB1-EU-M","VIVOSUN AeroLab THB1S Termómetro Higrómetro Inalámbrico Bluetooth Para Interiores, Medidor de Humedad y Temperatura Digital VPD, LCD, Control y Ale","1","amazon.es","Vendedor","Vigo","Pontevedra","36215","MarketplaceFacilitator","16,52","3,47","0","0","0","0","0","0","-3,47","-2,60","0","-0,08","0","13,84","Liberada","21 abr 2026 21:31:03 UTC"
