"request-date","order-id","order-source","order-type","service-speed","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2026-04-13T18:19:10+05:30","EcK37+tjBq","Amazon-initiated Automated Aged fulfillable Removal System","Return","Standard","Completed","2026-04-24T03:19:50+05:30","VSE-ATW70-EU","X002CXIWAB","Unsellable","2","0",,"2","0","0.00","EUR"
"2026-04-13T16:55:49+05:30","4BS-FL4","Seller-initiated Manual Removal","Return","Standard","Completed","2026-04-24T01:26:49+05:30","304113-44-EU","X001VH92Y9","Unsellable","17","17",,"0","0",,
"2026-04-13T16:55:49+05:30","4BS-FL4","Seller-initiated Manual Removal","Return","Standard","Completed","2026-04-24T01:26:49+05:30","304113-44-EU","X001VH92Y9","Sellable","271","271",,"0","0",,
"2026-04-10T08:25:07+05:30","Dis-0410-2","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T16:03:16+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1","0",,"0",,
"2026-04-10T08:25:07+05:30","Dis-0410-2","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T16:03:16+05:30","305131-UK","X0022PUP95","Unsellable","1","0","1",,"0","0.74","GBP"
"2026-04-10T08:25:07+05:30","Dis-0410-2","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T16:03:16+05:30","VSH-IS03-UK","X0022UF9AZ","Unsellable","1","0","1",,"0","2.28","GBP"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","306143-0616-EU","X001VZO4UN","Unsellable","1","1","0",,"0",,
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","306146-0616-EU","X001VZO6ND","Unsellable","1","0","1",,"0","9.38","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","306146-0412-EU","X001VZST45","Unsellable","1","0","1",,"0","6.56","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","311003-5-EU","X001W1HJ2B","Unsellable","1","0","1",,"0","0.74","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","VS-THB1S-EU","X0020HG1EN","Unsellable","1","0","1",,"0","1.19","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","332022-EU","X0021P5OXX","Unsellable","1","0","1",,"0","0.74","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","332021-EU","X0021P5SGL","Unsellable","1","0","1",,"0","0.74","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","VSF-AWD4x2-EU","X0023L9G3T","Unsellable","1","0","1",,"0","2.73","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","VSF-AWD4Wx2-EU","X0023LHG9P","Unsellable","1","0","1",,"0","2.73","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","306104-42C-EU","X0023T6Q1L","Unsellable","1","0","1",,"0","10.66","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","VSF-AWE6-G2x2-EU","X002611E9Z","Unsellable","1","0","1",,"0","6.56","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","VSE-UH075-EU","X0026HLHBJ","Unsellable","2","0","2",,"0","2.38","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","VSVC-AZG4E42AP-EU","X002CU6GJ3","Unsellable","1","0","1",,"0","19.88","EUR"
"2026-04-10T08:19:27+05:30","Dis-0410-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-18T07:48:13+05:30","GH-E42AP-EU","X002CUA5IB","Unsellable","1","0","1",,"0","2.73","EUR"
"2026-04-10T07:53:54+05:30","NMNiCdY+Ga","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-10T09:23:11+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-09T12:21:27+05:30","tHvMSsL8mf","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-11T00:08:44+05:30","306101S-6-UK","X0022UCHDH","Unsellable","1","0","1",,"0","6.25","GBP"
"2026-04-09T08:09:38+05:30","36+6HLXTBV","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-13T17:55:35+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-09T08:09:38+05:30","36+6HLXTBV","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-13T17:55:35+05:30","306101S-6-UK","X0022UCHDH","Unsellable","2","1",,"1","0","0.00","GBP"
"2026-04-08T07:58:40+05:30","FBPuBJNtkI","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-08T12:53:50+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-07T12:02:23+05:30","shDjAvuFhA","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-10T17:41:13+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1","0",,"0",,
"2026-04-07T12:02:23+05:30","shDjAvuFhA","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-10T17:41:13+05:30","306101S-6-UK","X0022UCHDH","Unsellable","1","0","1",,"0","6.25","GBP"
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","304113-42-EU","X001VHE5Z5","Unsellable","20","20",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","304113-55-EU","X001VJEKAX","Unsellable","1","1",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","304113-84-EU","X001VJENEB","Unsellable","1","1",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","304113-52-EU","X001VJETI1","Unsellable","10","10",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","306146-0616-EU","X001VZO6ND","Unsellable","1","1",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","306146-0412-EU","X001VZST45","Unsellable","1","1",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","GIY-SGS-224-EU","X001XL6FXJ","Unsellable","2","2",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","VSH-IS03-EU","X001Z5PQDD","Unsellable","11","11",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","304113-P426-EU","X0021L2AV1","Unsellable","1","1",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","VSF-AWD4Wx2-EU","X0023LHG9P","Unsellable","1","1",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","VSE-ASH05-EU","X0026MTWX9","Unsellable","1","1",,"0","0",,
"2026-04-07T08:52:58+05:30","uFXM6gowiJ","Seller-configured Automated Unfulfillable Removal System","Return","Standard","Cancelled","2026-04-07T14:44:53+05:30","VSC-GCC4-EU","X00276V1V5","Unsellable","3","3",,"0","0",,
"2026-04-07T08:47:43+05:30","jf/ygduGEd","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-07T14:42:43+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-07T07:00:33+05:30","Xq471ut554","Automated Recalled Units Removal System","Disposal","-","Completed","2026-04-11T00:15:22+05:30","304113-22-EU","X001W1GOCH","Unsellable","1","0","1",,"0","16.78","EUR"
"2026-04-06T11:15:05+05:30","pVVFPtKbZz","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-06T17:38:22+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1","0",,"0",,
"2026-04-06T11:15:05+05:30","pVVFPtKbZz","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-06T17:38:22+05:30","306101S-6-UK","X0022UCHDH","Unsellable","3","3","0",,"0",,
"2026-04-06T09:13:26+05:30","6yTjDC5Mte","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-07T12:52:45+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-06T09:13:26+05:30","6yTjDC5Mte","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-07T12:52:45+05:30","306101S-6-UK","X0022UCHDH","Unsellable","3","2",,"1","0","0.00","GBP"
"2026-04-06T01:43:38+05:30","Xq45kds155","Automated Recalled Units Removal System","Disposal","-","Completed","2026-04-09T02:53:34+05:30","304113-44-EU","X001VH92Y9","Unsellable","13","13","0",,"0",,
"2026-04-05T10:54:04+05:30","GjQv8FwWT2","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-07T19:16:17+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1","0",,"0",,
"2026-04-05T10:54:04+05:30","GjQv8FwWT2","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-07T19:16:17+05:30","306101S-6-UK","X0022UCHDH","Unsellable","1","0","1",,"0","6.25","GBP"
"2026-04-05T08:25:24+05:30","WYnAKlIBQc","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-07T14:06:18+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-05T08:25:24+05:30","WYnAKlIBQc","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-07T14:06:18+05:30","306101S-6-UK","X0022UCHDH","Unsellable","1","1",,"0","0",,
"2026-04-04T11:30:58+05:30","7WUf2wLQXN","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-07T02:09:57+05:30","304113-42-UK","X001VV4KGZ","Unsellable","1","0","1",,"0","19.58","GBP"
"2026-04-04T11:30:58+05:30","7WUf2wLQXN","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-07T02:09:57+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1","0",,"0",,
"2026-04-04T08:36:53+05:30","KZeahXVHJB","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-08T19:28:25+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1",,"0","0",,
"2026-04-04T08:36:53+05:30","KZeahXVHJB","Seller-configured Automated Unfulfillable Removal System","Liquidations","-","Completed","2026-04-08T19:28:25+05:30","304113-P276-UK","X0022PY31L","Unsellable","1","0",,"1","0","0.00","GBP"
"2026-04-03T11:35:02+05:30","VylWMvq4rp","Seller-configured Automated Unfulfillable Removal System","Disposal","-","Completed","2026-04-04T11:30:33+05:30","304113-42-UK","X001VV4KGZ","Unsellable","1","1","0",,"0",,
"2026-04-03T08:01:16+05:30","Dis-0403-2","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-09T18:01:08+05:30","VSF-AWE6Wx2-UK","X001XJCBLL","Unsellable","1","1","0",,"0",,
"2026-04-03T08:01:16+05:30","Dis-0403-2","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-09T18:01:08+05:30","VSV-AZG6-UK","X001XJCH1Z","Unsellable","1","1","0",,"0",,
"2026-04-03T08:01:16+05:30","Dis-0403-2","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-09T18:01:08+05:30","305131-UK","X0022PUP95","Unsellable","2","0","2",,"0","1.48","GBP"
"2026-04-03T07:55:14+05:30","Dis-0403-1","Seller-initiated Manual Removal","Disposal","-","Completed","2026-04-13T21:54:05+05:30","SPray-70L-EU","X001VKJH9V","Unsellable","2","0","2",,"0","21.32","EUR"
