"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2026-04-15T00:01:00+00:00","311003-4X3NJ-EU","X0021P457T","B088GW8H4J","VIVOSUN Gartenschere 3er-Set 16,5 cm Pflanzenschere mit Titan-Antihaftbeschichtung, Ergonomischer Griff, Gerade Klingen in Edelstahl, Rosenschere für Äste, Blume Obst und Gemüse, Orange","New","7.0E-4","EUR","cubic_meters","DE","1","0.20","366-455","0.2"
"2026-04-15T00:01:00+00:00","304113-P448-EU","X0021LAP13","B0CGHFFR4R","VIVOSUN PRO Growzelt 120x120x200cm Grow Tent mit Dicken 22mm Stangen 2000D Oxford-Gewebe hochreflektierendes Mylar Indoor Hydroponik Zuchtzelt Pflanzenzelt Gewächshaus passend für AeroLight A200SE×2","New","0.0616","EUR","cubic_meters","DE","79","1274.14","456+","16.13"
"2026-04-15T00:01:00+00:00","304113-P276-EU","X0021L4TZV","B0CGHJ3F21","VIVOSUN PRO Growzelt 80x80x160cm Grow Tent mit Dicken 22mm Stangen 2000D Oxford-Gewebe hochreflektierendes Mylar Indoor Hydroponik Zuchtzelt Pflanzenzelt Gewächshaus passend für AeroLight A150","New","0.0512","EUR","cubic_meters","DE","1","6.97","331-365","6.97"
"2026-04-15T00:01:00+00:00","SGS-SE1T4E42A-EU","X0020FVYJH","B0C2C97QWM","VIVOSUN Smart Grow System mit Grow Lampe100W LED Pflanzenlampe mit integriertem Zirkulationsventilator, Rohrventilator 100 mm & GrowHub E42A Controller für Growbox Komplettsets, Indoor-Grow Hydroponik","New","0.049","EUR","cubic_meters","DE","1","11.15","366-455","11.15"
"2026-04-15T00:01:00+00:00","VSH-IS03-EU","X001Z5PQDD","B0BXD9RK42","VIVOSUN Kits D'irrigation Goutte à Goutte Automatique Solaire avec Minuterie, Sortie 3W, Système D'irrigation Goutte Energie Solaire, Système D'arrosage pour Plantes de Jardin 15 pots, Arroseur","New","0.0047","EUR","cubic_meters","FR","1","0.22","241-270","0.22"
"2026-04-15T00:01:00+00:00","GIY-SGS-276-EU","X001YT9DRF","B0BY7SRP8R","VIVOSUN Smart Growzelt Komplettset 80x80x160cm, mit LED Grow Lampe Vollspektrum150W, Ventilation und Zirkulation und GrowHub E42A Controller, WLAN-integriertes Growzelt Kit Hydroponics Growing Tent","New","0.1169","EUR","cubic_meters","DE","7","39.28","241-270","5.61"
"2026-04-15T00:01:00+00:00","VSV-AZT6E42A-UK","X001XJC5ET","B0BMTK8J3P","VIVOSUN Inline Duct Fan 6inch/150 mm & Temperature Humidity Controller E42A WiFi-App Control, Quiet Extractor Fan 693 m³/h with EC Motor, Grow Tent Fan& Smart Thermostat for Growbox Hydroponics","New","0.7662","GBP","cubic_feet","GB","1","0.90","241-270","0.9"
"2026-04-15T00:01:00+00:00","CFPW-6-EU","X001WTGRSP","B0CH7XQ4T5","VIVOSUN Prefiltro de 6 Pulgadas Para Filtro de Carbón de 6 Pulgadas, Blanco, 13.78 Pulgadas de Largo","New","0.0013","EUR","cubic_meters","ES","2","0.61","366-455","0.31"
"2026-04-15T00:01:00+00:00","CFPW-8-EU","X001WTE3XV","B0CH829BQ2","VIVOSUN Prefiltro de 8 Pulgadas Para Filtro de Carbón de 8 Pulgadas, Blanco, 17,72 Pulgadas de Largo","New","0.0019","EUR","cubic_meters","ES","74","37.38","456+","0.51"
"2026-04-15T00:01:00+00:00","CFPB-8-EU","X001WTE3XL","B0CH7Z32KC","VIVOSUN Prefiltro de 8 Pulgadas Para Filtro de Carbón de 8 Pulgadas, Negro, 17,72 Pulgadas de Largo","New","0.0015","EUR","cubic_meters","ES","1","0.34","366-455","0.34"
"2026-04-15T00:01:00+00:00","LH-001-2-UK","X001WTB0T1","B0C2436JDR","VIVOSUN 2-Pair 1/8 Inch Adjustable Grow Light Hangers, Heavy Duty Rope Hanger with Reinforced Metal Gears, 8Ft. Long and 150 lbs Weight Capacity Rope for Grow Light, Inline Fan, Filters","New","0.0471","GBP","cubic_feet","GB","1","0.06","241-270","0.06"
