"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","healthy-inventory-level","recommended-sales-price","recommended-sale-duration-days","recommended-removal-quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","quantity-to-be-charged-ais-181-210-days","estimated-ais-181-210-days","quantity-to-be-charged-ais-211-240-days","estimated-ais-211-240-days","quantity-to-be-charged-ais-241-270-days","estimated-ais-241-270-days","quantity-to-be-charged-ais-271-300-days","estimated-ais-271-300-days","quantity-to-be-charged-ais-301-330-days","estimated-ais-301-330-days","quantity-to-be-charged-ais-331-365-days","estimated-ais-331-365-days","quantity-to-be-charged-ais-365-plus-days","estimated-ais-365-plus-days","historical-days-of-supply","Recommended ship-in quantity","Recommended ship-in date","Last updated date for Historical Days of Supply","Exempted from Low-Inventory-Level fee?","Low-Inventory-Level fee applied in current week?","Short term historical days of supply","Long term historical days of supply","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)","is-seasonal-in-next-3-months","season-name","season-start-date","season-end-date"
"2026-04-30","CBIN-BL-43K","X002KJFY1P","B08346W5S6","VIVOSUN Tumbling Composter Dual Rotating Batch Compost Bin 43 Gallon Black","New","174","0","184","0","0","0","0","CAD","20","127","196","230","","139.99","0.0","139.99","0.0","NoRestockExcessActionRequired","178","0.0","0","0","0.0","1.2","2.638959","cubic feet","Oversize","459.178866","CA","gl_lawn_and_garden","2422","59","0","7","13","139.99","2759.8","15418.73","23394.44","27230.1","55","129","0","0","0","255.71","72","70","0","2","15","0","","","","","","","","","","","","","","","79.0","113","2026-06-14","2026-04-27","Yes","No","48.4","79.0","2026-04-27","250","4","10","1","126","N","","",""
"2026-04-30","306104-8CK","X0018NJI0H","B010UCCR3A","VIVOSUN 25 Feet 8 Inch Non-Insulated Flex Air Aluminum Duct for Ventilation Ducting w/ 2pcs 8 Inch Stainless Steel Clamps","New","48","0","51","0","0","0","0","CAD","9","26","35","55","","49.99","0.0","49.99","0.0","NoExcessInventory","48","0.0","0","0","0.0","0.99","0.560581","cubic feet","Oversize","26.907888","CA","gl_home_improvement","6988","88","0","18","27","47.49","434.91","1249.74","1669.91","2616.71","2","37","12","0","0","17.64","70","40","0","30","0","0","","","","","","","","","","","","","","","97.7","48","2026-07-12","2026-04-27","Yes","No","75.7","97.7","2026-04-27","118","0","0","0","141","N","","",""
"2026-04-30","VSGB-15K","X0041ECHHL","B0BLBJ3YN1","VIVOSUN 5-Pack 15 Gallon Grow Bags, 500G Thick Nonwoven Fabric Pots with Strap Handles, Multi-Purpose Rings, for Low Stress Plant Training Fruits, Vegetables, and Flowers","New","7","0","22","0","0","0","0","CAD","24","74","105","130","","35.99","0.0","35.99","0.0","NoExcessInventory","62","0.0","0","0","0.0","3.44","0.404732","cubic feet","Standard","2.833124","CA","gl_home","1569","37","0","4","8","35.99","863.76","2663.26","3778.95","4678.7","22","0","0","0","0","15.46","81","36","18","27","24","0","","","","","","","","","","","","","","","34.9","77","2026-05-23","2026-04-27","No","No","9.3","34.9","2026-04-27","107","19","1","4","71","N","","",""
"2026-04-30","Spray-SX-CS7K","X00413JWCZ","B0BYNC8H6J","VIVOSUN 1.8 Gallon Pump Pressure Sprayer, 7L Pressurized Lawn & Garden Water Spray Bottle with 3 Water Nozzles, Adjustable Shoulder Strap, Pressure Relief Valve, for Plants and Cleaning","New","131","0","148","0","0","0","0","CAD","22","67","84","98","","54.99","0.0","44.54","0.0","NoRestockExcessActionRequired","131","0.0","0","0","0.0","1.27","0.65728","cubic feet","Oversize","86.10368","CA","gl_lawn_and_garden","254","96","0","18","42","44.54","1026.15","3247.42","4091.46","4792.33","148","0","0","0","0","56.43","186","120","0","66","6","0","","","","","","","","","","","","","","","72.1","71","2026-07-21","2026-04-27","Yes","No","59.4","72.1","2026-04-27","317","0","3","3","270","N","","",""
"2026-04-30","TN-22K","X003SYD111","B0BY2BGGN2","VIVOSUN 2 x 2Ft. Elastic Trellis Netting with 4 Hooks for Climbing Plants, Vegetables, Fruits, and Flowers, 1-Pack","New","46","0","0","3","2","45","0","CAD","2","6","12","23","","13.99","0.0","13.29","0.0","NoExcessInventory","67","0.0","0","0","0.0","0.41","0.02143","cubic feet","Standard","0.98578","CA","gl_lawn_and_garden","3472","224","0","84","71","13.29","26.58","82.54","162.98","316.87","0","0","0","47","0","6.63","80","80","0","0","21","0","1","0.01","0","0.0","2","0.09","0","0.0","45","4.69","0","0.0","0","0.0","268.5","14","2026-11-26","2026-04-27","Yes","No","268.5","217.7","2026-04-27","147","21","0","0","366","N","","",""
"2026-04-30","311021-3x5K","X001LWDR2F","B01I1D9N9Q","VIVOSUN 5-Pack 3 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles Tan","New","83","0","89","0","0","0","0","CAD","18","78","114","129","","19.99","0.0","19.99","0.0","NoExcessInventory","173","0.0","0","0","0.0","1.71","0.093501","cubic feet","Standard","7.760583","CA","gl_home","15","87","0","10","20","19.99","359.82","1545.23","2250.87","2550.72","60","29","0","0","0","14.91","120","30","30","60","2","0","","","","","","","","","","","","","","","52.3","66","2026-07-02","2026-04-27","No","No","33.2","52.3","2026-04-27","203","0","2","0","118","N","","",""
"2026-04-30","311008-03x50K","X00295TQCX","B0132LPUTE","VIVOSUN 50-Pack 3 Gallon Grow Bags for Plants, Black-and-White Material for Potting Up Seedlings and Rooting","New","128","0","131","0","0","0","0","CAD","10","53","74","85","","23.99","0.0","23.99","0.0","NoRestockExcessActionRequired","128","0.0","0","0","0.0","0.68","0.068369","cubic feet","Standard","8.751232","CA","gl_home","4848","177","0","9","19","23.99","239.9","1249.37","1741.16","2005.05","20","80","31","0","0","8.31","0","0","0","0","1","0","","","","","","","","","","","","","","","146.2","26","2026-10-10","2026-04-27","No","No","89.1","146.2","2026-04-27","128","0","0","1","180","N","","",""
"2026-04-30","304113-P848K","X003Y9BIH9","B0CGHPVX9S","VIVOSUN P848 96""×48""×80"" PRO Grow Tent, with Thick 1 inch Poles, Strengthened High Reflective Mylar Oxford Fabric, Extra Hanging Bars & High CFM Kit for Hydroponics Indoor Plant for AeroLight A200SE×4","New","12","0","12","0","0","0","0","CAD","0","2","4","14","","399.99","0.0","399.99","0.0","NoExcessInventory","12","0.0","0","0","3673.2","1.93","4.310185","cubic feet","Extra-large","51.72222","CA","gl_home","28600","126","0","40","18","399.99","0.0","799.98","1559.96","4959.86","5","7","0","0","0","37.58","8","8","0","0","0","0","","","","","","","","","","","","","","","162.0","11","2026-08-19","2026-04-27","Yes","No","162.0","49.9","2026-04-27","20","0","0","0","184","N","","",""
"2026-04-30","311021-20x5K","X002PDW103","B0885S2TDF","VIVOSUN 5-Pack 20 Gallon Grow Bags Heavy Duty 300G Thickened Nonwoven Plant Fabric Pots with Handles Tan","New","302","0","464","0","0","0","0","CAD","61","185","260","285","","32.99","0.0","32.99","0.0","Create Outlet deal","19","26.39","2","0","2767.64","1.09","0.372163","cubic feet","Standard","112.393226","CA","gl_home","15","366","0","10","22","32.99","2011.4","6041.77","8382.82","9205.59","268","196","0","0","0","218.49","200","20","40","140","159","2","","","","","","","","","","","","","","","75.7","0","","2026-04-27","No","No","59.4","75.7","2026-04-27","642","140","15","4","366","N","","",""
"2026-04-30","311001-25x5K","X000YNXR27","B00VWU30EK","VIVOSUN 5-Pack 25 Gallons Grow Bags Heavy Duty Thickened Nonwoven Fabric Pots with Handles","New","0","0","43","0","0","0","0","CAD","70","73","242","363","","36.99","0.0","36.99","0.0","NoExcessInventory","405","0.0","0","0","0.0","2.74","0.663496","cubic feet","Standard","0.0","CA","gl_lawn_and_garden","15","117","0","19","12","36.99","2392.31","2489.28","8160.59","11824.38","43","0","0","0","0","213.5","360","27","45","288","131","4","","","","","","","","","","","","","","","35.2","45","2026-08-03","2026-04-27","Yes","No","5.7","35.2","2026-04-27","450","90","9","32","206","N","","",""
